year,Lexie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,7
1887,0
1888,6
1889,0
1890,6
1891,9
1892,12
1893,12
1894,8
1895,11
1896,20
1897,8
1898,19
1899,20
1900,15
1901,20
1902,16
1903,15
1904,20
1905,12
1906,11
1907,18
1908,34
1909,25
1910,32
1911,25
1912,41
1913,41
1914,41
1915,64
1916,60
1917,49
1918,49
1919,78
1920,55
1921,56
1922,63
1923,58
1924,58
1925,60
1926,51
1927,40
1928,47
1929,31
1930,46
1931,41
1932,35
1933,25
1934,29
1935,30
1936,24
1937,33
1938,34
1939,40
1940,18
1941,32
1942,40
1943,24
1944,24
1945,26
1946,28
1947,41
1948,27
1949,31
1950,47
1951,38
1952,19
1953,42
1954,37
1955,27
1956,39
1957,21
1958,27
1959,34
1960,32
1961,15
1962,27
1963,22
1964,15
1965,10
1966,9
1967,23
1968,15
1969,21
1970,10
1971,11
1972,20
1973,10
1974,11
1975,11
1976,12
1977,13
1978,21
1979,34
1980,39
1981,41
1982,41
1983,41
1984,48
1985,47
1986,35
1987,44
1988,54
1989,70
1990,76
1991,94
1992,106
1993,154
1994,197
1995,247
1996,355
1997,300
1998,481
1999,473
2000,471
2001,479
2002,492
2003,487
2004,530
2005,489
2006,575
2007,637
2008,624
2009,607
2010,645
2011,622
2012,578
