year,Luciana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,6
1914,6
1915,6
1916,6
1917,0
1918,6
1919,6
1920,8
1921,10
1922,5
1923,11
1924,17
1925,10
1926,6
1927,10
1928,10
1929,0
1930,10
1931,12
1932,10
1933,0
1934,5
1935,0
1936,7
1937,6
1938,7
1939,7
1940,0
1941,0
1942,12
1943,0
1944,0
1945,0
1946,6
1947,0
1948,5
1949,0
1950,6
1951,0
1952,6
1953,7
1954,6
1955,9
1956,7
1957,0
1958,5
1959,8
1960,12
1961,13
1962,12
1963,12
1964,14
1965,12
1966,10
1967,7
1968,14
1969,14
1970,16
1971,12
1972,24
1973,23
1974,136
1975,289
1976,317
1977,132
1978,66
1979,60
1980,52
1981,65
1982,55
1983,34
1984,35
1985,30
1986,39
1987,24
1988,37
1989,30
1990,36
1991,38
1992,24
1993,31
1994,27
1995,40
1996,27
1997,34
1998,44
1999,75
2000,83
2001,66
2002,87
2003,96
2004,184
2005,191
2006,284
2007,347
2008,399
2009,425
2010,411
2011,512
2012,531
