year,Lindy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,5
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,0
1912,5
1913,8
1914,6
1915,5
1916,8
1917,5
1918,0
1919,7
1920,0
1921,0
1922,8
1923,10
1924,12
1925,18
1926,30
1927,261
1928,193
1929,98
1930,70
1931,53
1932,50
1933,25
1934,23
1935,30
1936,24
1937,19
1938,12
1939,28
1940,36
1941,34
1942,34
1943,39
1944,39
1945,36
1946,62
1947,70
1948,79
1949,121
1950,132
1951,138
1952,133
1953,155
1954,154
1955,156
1956,162
1957,217
1958,198
1959,173
1960,165
1961,193
1962,167
1963,117
1964,101
1965,93
1966,71
1967,67
1968,79
1969,76
1970,76
1971,77
1972,96
1973,130
1974,137
1975,118
1976,178
1977,186
1978,247
1979,318
1980,261
1981,226
1982,213
1983,192
1984,198
1985,158
1986,144
1987,149
1988,151
1989,146
1990,131
1991,126
1992,123
1993,90
1994,88
1995,81
1996,84
1997,68
1998,80
1999,79
2000,81
2001,79
2002,85
2003,87
2004,76
2005,75
2006,74
2007,100
2008,91
2009,57
2010,48
2011,65
2012,75
