year,Louella
1880,34
1881,44
1882,51
1883,47
1884,52
1885,48
1886,66
1887,59
1888,50
1889,49
1890,65
1891,75
1892,57
1893,56
1894,53
1895,50
1896,79
1897,76
1898,65
1899,62
1900,111
1901,55
1902,80
1903,74
1904,77
1905,87
1906,71
1907,93
1908,81
1909,103
1910,117
1911,110
1912,130
1913,149
1914,156
1915,208
1916,235
1917,229
1918,250
1919,242
1920,215
1921,257
1922,233
1923,246
1924,239
1925,238
1926,266
1927,264
1928,255
1929,244
1930,259
1931,220
1932,266
1933,222
1934,255
1935,216
1936,230
1937,220
1938,242
1939,231
1940,200
1941,233
1942,197
1943,188
1944,194
1945,184
1946,174
1947,204
1948,212
1949,186
1950,167
1951,158
1952,124
1953,115
1954,140
1955,102
1956,86
1957,97
1958,85
1959,76
1960,57
1961,71
1962,72
1963,65
1964,69
1965,40
1966,48
1967,22
1968,32
1969,32
1970,33
1971,24
1972,25
1973,17
1974,31
1975,26
1976,12
1977,14
1978,18
1979,14
1980,16
1981,15
1982,13
1983,11
1984,13
1985,7
1986,13
1987,15
1988,12
1989,8
1990,8
1991,8
1992,11
1993,6
1994,11
1995,10
1996,11
1997,5
1998,8
1999,8
2000,0
2001,0
2002,11
2003,9
2004,5
2005,5
2006,10
2007,19
2008,10
2009,24
2010,21
2011,20
2012,30
