year,Lilly
1880,64
1881,55
1882,70
1883,62
1884,63
1885,80
1886,85
1887,83
1888,124
1889,95
1890,104
1891,98
1892,109
1893,114
1894,127
1895,108
1896,121
1897,86
1898,133
1899,107
1900,154
1901,105
1902,126
1903,123
1904,133
1905,130
1906,137
1907,144
1908,137
1909,125
1910,129
1911,154
1912,168
1913,179
1914,229
1915,280
1916,316
1917,298
1918,319
1919,298
1920,309
1921,339
1922,304
1923,316
1924,301
1925,283
1926,305
1927,283
1928,271
1929,252
1930,243
1931,199
1932,224
1933,209
1934,216
1935,157
1936,198
1937,188
1938,223
1939,178
1940,166
1941,196
1942,195
1943,153
1944,163
1945,140
1946,149
1947,152
1948,152
1949,129
1950,139
1951,171
1952,134
1953,127
1954,133
1955,139
1956,163
1957,146
1958,122
1959,144
1960,137
1961,157
1962,143
1963,117
1964,108
1965,122
1966,103
1967,79
1968,91
1969,75
1970,75
1971,77
1972,60
1973,68
1974,65
1975,60
1976,42
1977,60
1978,64
1979,60
1980,60
1981,70
1982,75
1983,51
1984,47
1985,74
1986,73
1987,62
1988,99
1989,102
1990,108
1991,102
1992,121
1993,127
1994,135
1995,207
1996,234
1997,331
1998,413
1999,488
2000,659
2001,782
2002,910
2003,1187
2004,1621
2005,1909
2006,2276
2007,2402
2008,2686
2009,2820
2010,2881
2011,2855
2012,2770
