year,Lorine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,6
1892,0
1893,6
1894,5
1895,15
1896,7
1897,9
1898,25
1899,19
1900,30
1901,19
1902,26
1903,21
1904,28
1905,35
1906,37
1907,41
1908,37
1909,42
1910,66
1911,61
1912,67
1913,102
1914,128
1915,149
1916,226
1917,182
1918,207
1919,233
1920,242
1921,239
1922,277
1923,236
1924,276
1925,241
1926,255
1927,239
1928,235
1929,204
1930,241
1931,200
1932,200
1933,155
1934,185
1935,165
1936,144
1937,131
1938,148
1939,123
1940,128
1941,125
1942,161
1943,119
1944,115
1945,90
1946,112
1947,125
1948,102
1949,103
1950,97
1951,75
1952,80
1953,73
1954,74
1955,66
1956,75
1957,59
1958,55
1959,54
1960,58
1961,58
1962,60
1963,63
1964,49
1965,57
1966,49
1967,52
1968,47
1969,46
1970,31
1971,32
1972,25
1973,20
1974,24
1975,20
1976,13
1977,21
1978,18
1979,7
1980,16
1981,0
1982,10
1983,7
1984,7
1985,8
1986,14
1987,7
1988,7
1989,6
1990,8
1991,9
1992,7
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,5
2000,5
2001,5
2002,7
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
