year,Lawyer
1880,5
1881,0
1882,6
1883,0
1884,6
1885,0
1886,12
1887,6
1888,0
1889,0
1890,6
1891,7
1892,6
1893,5
1894,0
1895,6
1896,5
1897,0
1898,0
1899,0
1900,7
1901,5
1902,0
1903,0
1904,7
1905,11
1906,6
1907,5
1908,10
1909,15
1910,13
1911,21
1912,9
1913,17
1914,9
1915,13
1916,24
1917,27
1918,23
1919,18
1920,16
1921,13
1922,21
1923,18
1924,17
1925,19
1926,18
1927,17
1928,18
1929,16
1930,31
1931,14
1932,15
1933,13
1934,15
1935,12
1936,18
1937,12
1938,14
1939,21
1940,16
1941,14
1942,12
1943,11
1944,14
1945,9
1946,12
1947,14
1948,13
1949,15
1950,9
1951,9
1952,16
1953,9
1954,8
1955,11
1956,18
1957,11
1958,5
1959,6
1960,7
1961,6
1962,7
1963,6
1964,7
1965,0
1966,7
1967,13
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,6
1975,0
1976,0
1977,7
1978,0
1979,5
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,7
1991,0
1992,5
1993,0
1994,6
1995,5
1996,5
1997,0
1998,0
1999,0
2000,0
2001,8
2002,6
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
