year,Lola
1880,138
1881,129
1882,174
1883,172
1884,197
1885,191
1886,191
1887,246
1888,304
1889,312
1890,346
1891,337
1892,388
1893,385
1894,407
1895,451
1896,455
1897,487
1898,534
1899,442
1900,584
1901,501
1902,572
1903,547
1904,624
1905,624
1906,616
1907,639
1908,623
1909,634
1910,685
1911,718
1912,909
1913,971
1914,1036
1915,1427
1916,1378
1917,1493
1918,1574
1919,1623
1920,1591
1921,1548
1922,1489
1923,1520
1924,1546
1925,1479
1926,1455
1927,1540
1928,1302
1929,1275
1930,1275
1931,1211
1932,1199
1933,1129
1934,1099
1935,956
1936,965
1937,870
1938,901
1939,847
1940,875
1941,842
1942,900
1943,831
1944,831
1945,690
1946,698
1947,710
1948,662
1949,621
1950,629
1951,650
1952,618
1953,535
1954,558
1955,633
1956,518
1957,483
1958,432
1959,484
1960,413
1961,398
1962,340
1963,327
1964,336
1965,278
1966,228
1967,187
1968,186
1969,172
1970,169
1971,180
1972,155
1973,159
1974,154
1975,151
1976,200
1977,132
1978,152
1979,136
1980,151
1981,105
1982,108
1983,83
1984,67
1985,68
1986,66
1987,74
1988,73
1989,57
1990,70
1991,47
1992,51
1993,31
1994,40
1995,45
1996,40
1997,68
1998,63
1999,71
2000,144
2001,182
2002,321
2003,436
2004,555
2005,843
2006,1196
2007,1261
2008,1408
2009,1463
2010,1470
2011,1312
2012,1376
