year,Lenora
1880,66
1881,68
1882,70
1883,66
1884,73
1885,73
1886,75
1887,98
1888,105
1889,91
1890,102
1891,95
1892,120
1893,93
1894,101
1895,103
1896,134
1897,133
1898,135
1899,92
1900,153
1901,118
1902,129
1903,132
1904,138
1905,160
1906,176
1907,166
1908,180
1909,189
1910,214
1911,211
1912,281
1913,289
1914,402
1915,543
1916,532
1917,522
1918,563
1919,493
1920,595
1921,621
1922,651
1923,589
1924,678
1925,615
1926,619
1927,645
1928,607
1929,480
1930,523
1931,447
1932,482
1933,460
1934,459
1935,461
1936,398
1937,419
1938,390
1939,429
1940,410
1941,440
1942,440
1943,433
1944,382
1945,332
1946,363
1947,412
1948,403
1949,406
1950,434
1951,411
1952,425
1953,430
1954,400
1955,428
1956,517
1957,577
1958,479
1959,487
1960,472
1961,449
1962,394
1963,378
1964,376
1965,339
1966,290
1967,339
1968,278
1969,245
1970,237
1971,222
1972,186
1973,159
1974,152
1975,146
1976,124
1977,102
1978,101
1979,98
1980,103
1981,126
1982,94
1983,101
1984,81
1985,86
1986,68
1987,91
1988,80
1989,84
1990,59
1991,73
1992,62
1993,51
1994,60
1995,38
1996,41
1997,36
1998,31
1999,41
2000,45
2001,39
2002,31
2003,49
2004,46
2005,52
2006,38
2007,59
2008,44
2009,61
2010,69
2011,66
2012,89
