year,Lilah
1880,0
1881,0
1882,0
1883,0
1884,7
1885,5
1886,8
1887,5
1888,0
1889,7
1890,7
1891,11
1892,11
1893,12
1894,16
1895,18
1896,6
1897,12
1898,15
1899,17
1900,11
1901,20
1902,10
1903,14
1904,7
1905,12
1906,9
1907,12
1908,12
1909,13
1910,13
1911,15
1912,13
1913,30
1914,30
1915,28
1916,38
1917,35
1918,21
1919,31
1920,34
1921,41
1922,30
1923,25
1924,28
1925,35
1926,25
1927,22
1928,23
1929,21
1930,27
1931,15
1932,10
1933,12
1934,14
1935,11
1936,12
1937,13
1938,21
1939,11
1940,10
1941,21
1942,11
1943,9
1944,9
1945,8
1946,7
1947,10
1948,10
1949,7
1950,0
1951,10
1952,9
1953,10
1954,8
1955,5
1956,9
1957,10
1958,7
1959,6
1960,0
1961,7
1962,11
1963,15
1964,0
1965,7
1966,0
1967,5
1968,8
1969,7
1970,8
1971,5
1972,6
1973,11
1974,10
1975,13
1976,17
1977,13
1978,25
1979,12
1980,12
1981,14
1982,17
1983,17
1984,10
1985,18
1986,18
1987,18
1988,12
1989,12
1990,17
1991,11
1992,12
1993,18
1994,15
1995,15
1996,37
1997,30
1998,47
1999,69
2000,91
2001,106
2002,133
2003,162
2004,167
2005,223
2006,308
2007,525
2008,773
2009,884
2010,963
2011,1039
2012,1030
