year,Lavada
1880,0
1881,5
1882,9
1883,0
1884,10
1885,5
1886,6
1887,9
1888,9
1889,9
1890,13
1891,13
1892,10
1893,6
1894,17
1895,11
1896,21
1897,15
1898,26
1899,19
1900,20
1901,16
1902,22
1903,18
1904,29
1905,21
1906,31
1907,39
1908,31
1909,24
1910,29
1911,29
1912,43
1913,37
1914,56
1915,76
1916,73
1917,93
1918,83
1919,91
1920,105
1921,111
1922,79
1923,83
1924,77
1925,94
1926,87
1927,92
1928,79
1929,75
1930,77
1931,69
1932,83
1933,65
1934,104
1935,82
1936,70
1937,69
1938,96
1939,74
1940,83
1941,61
1942,66
1943,71
1944,57
1945,51
1946,54
1947,56
1948,60
1949,49
1950,46
1951,47
1952,53
1953,43
1954,26
1955,42
1956,36
1957,42
1958,31
1959,32
1960,38
1961,35
1962,34
1963,28
1964,24
1965,29
1966,26
1967,23
1968,28
1969,21
1970,30
1971,25
1972,20
1973,26
1974,10
1975,18
1976,13
1977,13
1978,14
1979,18
1980,18
1981,21
1982,10
1983,12
1984,8
1985,7
1986,8
1987,17
1988,7
1989,10
1990,6
1991,12
1992,0
1993,0
1994,12
1995,0
1996,7
1997,8
1998,8
1999,6
2000,0
2001,0
2002,14
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
