year,Lars
1880,0
1881,0
1882,0
1883,7
1884,5
1885,0
1886,5
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,8
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,6
1914,16
1915,17
1916,10
1917,24
1918,12
1919,8
1920,14
1921,21
1922,10
1923,17
1924,9
1925,12
1926,14
1927,14
1928,15
1929,14
1930,13
1931,12
1932,10
1933,14
1934,12
1935,15
1936,16
1937,27
1938,15
1939,19
1940,22
1941,15
1942,25
1943,18
1944,21
1945,20
1946,16
1947,15
1948,34
1949,29
1950,34
1951,29
1952,40
1953,36
1954,44
1955,41
1956,54
1957,53
1958,74
1959,91
1960,62
1961,110
1962,94
1963,79
1964,91
1965,83
1966,82
1967,96
1968,86
1969,93
1970,103
1971,89
1972,86
1973,76
1974,81
1975,75
1976,77
1977,67
1978,64
1979,104
1980,99
1981,77
1982,81
1983,100
1984,80
1985,70
1986,75
1987,68
1988,83
1989,80
1990,84
1991,74
1992,88
1993,88
1994,89
1995,91
1996,97
1997,95
1998,109
1999,103
2000,127
2001,114
2002,127
2003,117
2004,111
2005,116
2006,101
2007,125
2008,101
2009,94
2010,88
2011,71
2012,84
