year,Letty
1880,5
1881,0
1882,0
1883,0
1884,5
1885,0
1886,5
1887,6
1888,0
1889,7
1890,0
1891,9
1892,14
1893,9
1894,5
1895,10
1896,8
1897,9
1898,6
1899,10
1900,13
1901,8
1902,0
1903,14
1904,9
1905,15
1906,15
1907,14
1908,6
1909,14
1910,15
1911,11
1912,16
1913,16
1914,21
1915,32
1916,25
1917,36
1918,41
1919,48
1920,50
1921,38
1922,39
1923,41
1924,64
1925,50
1926,57
1927,44
1928,54
1929,36
1930,27
1931,32
1932,56
1933,44
1934,45
1935,45
1936,33
1937,39
1938,32
1939,41
1940,38
1941,34
1942,57
1943,31
1944,33
1945,27
1946,38
1947,40
1948,31
1949,30
1950,26
1951,19
1952,28
1953,28
1954,23
1955,30
1956,35
1957,29
1958,64
1959,36
1960,48
1961,45
1962,43
1963,39
1964,42
1965,36
1966,19
1967,23
1968,23
1969,33
1970,22
1971,12
1972,24
1973,10
1974,18
1975,20
1976,15
1977,14
1978,13
1979,21
1980,6
1981,13
1982,11
1983,11
1984,0
1985,8
1986,10
1987,14
1988,7
1989,14
1990,23
1991,10
1992,14
1993,6
1994,9
1995,8
1996,9
1997,8
1998,10
1999,15
2000,6
2001,6
2002,6
2003,0
2004,11
2005,5
2006,7
2007,5
2008,0
2009,21
2010,32
2011,31
2012,34
