year,Levie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,5
1899,8
1900,15
1901,0
1902,5
1903,5
1904,6
1905,0
1906,5
1907,5
1908,15
1909,6
1910,13
1911,19
1912,19
1913,15
1914,24
1915,20
1916,23
1917,30
1918,33
1919,31
1920,29
1921,34
1922,25
1923,24
1924,16
1925,23
1926,22
1927,29
1928,16
1929,19
1930,14
1931,17
1932,21
1933,18
1934,15
1935,19
1936,13
1937,20
1938,15
1939,5
1940,6
1941,9
1942,14
1943,11
1944,12
1945,11
1946,13
1947,6
1948,8
1949,9
1950,10
1951,10
1952,12
1953,13
1954,10
1955,7
1956,7
1957,11
1958,9
1959,6
1960,0
1961,8
1962,5
1963,8
1964,6
1965,0
1966,6
1967,0
1968,0
1969,0
1970,5
1971,5
1972,11
1973,5
1974,0
1975,0
1976,0
1977,6
1978,0
1979,0
1980,0
1981,6
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,6
1989,8
1990,0
1991,0
1992,5
1993,0
1994,0
1995,5
1996,0
1997,0
1998,6
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,7
2006,0
2007,5
2008,0
2009,6
2010,9
2011,0
2012,5
