year,Letta
1880,9
1881,7
1882,7
1883,8
1884,8
1885,9
1886,11
1887,9
1888,6
1889,5
1890,10
1891,9
1892,10
1893,6
1894,10
1895,7
1896,15
1897,8
1898,8
1899,6
1900,6
1901,6
1902,8
1903,5
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,8
1911,0
1912,5
1913,0
1914,14
1915,10
1916,11
1917,13
1918,11
1919,9
1920,13
1921,11
1922,6
1923,11
1924,10
1925,15
1926,13
1927,12
1928,8
1929,8
1930,16
1931,9
1932,19
1933,12
1934,9
1935,5
1936,9
1937,15
1938,8
1939,9
1940,7
1941,0
1942,7
1943,6
1944,5
1945,6
1946,9
1947,0
1948,10
1949,0
1950,10
1951,0
1952,7
1953,9
1954,9
1955,8
1956,5
1957,6
1958,6
1959,8
1960,8
1961,7
1962,0
1963,7
1964,6
1965,8
1966,5
1967,0
1968,5
1969,0
1970,14
1971,24
1972,5
1973,10
1974,0
1975,0
1976,7
1977,8
1978,8
1979,8
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
