year,Leeanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,9
1913,0
1914,5
1915,5
1916,14
1917,9
1918,7
1919,0
1920,7
1921,8
1922,11
1923,7
1924,0
1925,9
1926,10
1927,11
1928,8
1929,0
1930,10
1931,0
1932,6
1933,0
1934,6
1935,6
1936,5
1937,9
1938,6
1939,10
1940,8
1941,7
1942,10
1943,11
1944,9
1945,9
1946,13
1947,15
1948,12
1949,8
1950,9
1951,12
1952,6
1953,12
1954,11
1955,20
1956,12
1957,13
1958,19
1959,20
1960,25
1961,24
1962,26
1963,27
1964,21
1965,21
1966,22
1967,29
1968,24
1969,27
1970,28
1971,38
1972,34
1973,31
1974,25
1975,36
1976,38
1977,40
1978,43
1979,54
1980,53
1981,56
1982,55
1983,49
1984,48
1985,50
1986,65
1987,56
1988,79
1989,122
1990,107
1991,108
1992,78
1993,108
1994,71
1995,73
1996,67
1997,74
1998,77
1999,63
2000,74
2001,81
2002,75
2003,67
2004,75
2005,63
2006,62
2007,69
2008,91
2009,81
2010,89
2011,80
2012,65
