year,Laney
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,5
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,5
1910,6
1911,0
1912,0
1913,0
1914,5
1915,8
1916,15
1917,5
1918,12
1919,8
1920,8
1921,7
1922,13
1923,6
1924,13
1925,11
1926,0
1927,0
1928,15
1929,5
1930,0
1931,6
1932,6
1933,5
1934,13
1935,0
1936,7
1937,8
1938,13
1939,10
1940,17
1941,9
1942,9
1943,5
1944,11
1945,7
1946,18
1947,20
1948,20
1949,23
1950,15
1951,20
1952,8
1953,14
1954,18
1955,11
1956,18
1957,12
1958,14
1959,14
1960,16
1961,15
1962,15
1963,13
1964,5
1965,18
1966,12
1967,14
1968,19
1969,17
1970,16
1971,13
1972,13
1973,20
1974,13
1975,10
1976,15
1977,14
1978,27
1979,21
1980,33
1981,53
1982,25
1983,21
1984,25
1985,27
1986,26
1987,26
1988,25
1989,40
1990,93
1991,95
1992,88
1993,67
1994,88
1995,88
1996,96
1997,109
1998,99
1999,186
2000,332
2001,408
2002,407
2003,495
2004,534
2005,635
2006,639
2007,593
2008,543
2009,558
2010,539
2011,555
2012,453
