year,Lidia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,6
1890,0
1891,0
1892,0
1893,5
1894,0
1895,7
1896,5
1897,0
1898,0
1899,5
1900,6
1901,5
1902,5
1903,0
1904,7
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,12
1913,8
1914,14
1915,10
1916,18
1917,27
1918,31
1919,25
1920,23
1921,27
1922,36
1923,26
1924,33
1925,55
1926,48
1927,61
1928,63
1929,57
1930,48
1931,41
1932,52
1933,46
1934,34
1935,61
1936,56
1937,75
1938,59
1939,46
1940,50
1941,55
1942,60
1943,52
1944,53
1945,54
1946,55
1947,57
1948,53
1949,74
1950,77
1951,54
1952,62
1953,79
1954,77
1955,54
1956,70
1957,74
1958,80
1959,80
1960,86
1961,71
1962,70
1963,80
1964,74
1965,105
1966,84
1967,88
1968,81
1969,90
1970,105
1971,93
1972,104
1973,101
1974,92
1975,99
1976,102
1977,81
1978,96
1979,95
1980,104
1981,100
1982,100
1983,108
1984,93
1985,122
1986,111
1987,113
1988,105
1989,141
1990,147
1991,180
1992,170
1993,168
1994,186
1995,178
1996,176
1997,152
1998,175
1999,157
2000,175
2001,188
2002,185
2003,165
2004,199
2005,193
2006,215
2007,210
2008,243
2009,204
2010,199
2011,182
2012,165
