year,Lona
1880,28
1881,27
1882,33
1883,34
1884,29
1885,32
1886,39
1887,41
1888,56
1889,62
1890,69
1891,54
1892,72
1893,73
1894,61
1895,78
1896,72
1897,82
1898,93
1899,84
1900,103
1901,85
1902,95
1903,90
1904,89
1905,85
1906,87
1907,100
1908,83
1909,109
1910,110
1911,104
1912,124
1913,140
1914,139
1915,160
1916,173
1917,165
1918,198
1919,184
1920,168
1921,164
1922,128
1923,142
1924,156
1925,148
1926,117
1927,137
1928,120
1929,121
1930,102
1931,100
1932,116
1933,131
1934,180
1935,131
1936,119
1937,103
1938,112
1939,98
1940,145
1941,130
1942,129
1943,147
1944,127
1945,109
1946,121
1947,148
1948,128
1949,140
1950,130
1951,125
1952,129
1953,125
1954,136
1955,114
1956,120
1957,108
1958,82
1959,102
1960,96
1961,100
1962,94
1963,130
1964,116
1965,82
1966,72
1967,82
1968,85
1969,89
1970,83
1971,78
1972,63
1973,44
1974,45
1975,36
1976,37
1977,46
1978,36
1979,35
1980,45
1981,45
1982,30
1983,35
1984,24
1985,33
1986,26
1987,17
1988,20
1989,21
1990,10
1991,23
1992,10
1993,10
1994,12
1995,9
1996,9
1997,14
1998,11
1999,12
2000,13
2001,11
2002,13
2003,19
2004,18
2005,28
2006,28
2007,22
2008,18
2009,18
2010,19
2011,11
2012,18
