year,Lennie
1880,11
1881,21
1882,26
1883,25
1884,32
1885,33
1886,12
1887,41
1888,38
1889,36
1890,37
1891,49
1892,44
1893,42
1894,57
1895,60
1896,50
1897,36
1898,46
1899,42
1900,58
1901,43
1902,54
1903,56
1904,65
1905,64
1906,50
1907,56
1908,61
1909,51
1910,63
1911,77
1912,88
1913,93
1914,109
1915,139
1916,125
1917,121
1918,103
1919,111
1920,109
1921,147
1922,101
1923,75
1924,110
1925,100
1926,87
1927,72
1928,84
1929,72
1930,72
1931,56
1932,79
1933,84
1934,57
1935,70
1936,79
1937,56
1938,71
1939,56
1940,69
1941,72
1942,67
1943,74
1944,63
1945,80
1946,108
1947,84
1948,105
1949,86
1950,78
1951,91
1952,80
1953,82
1954,81
1955,90
1956,93
1957,122
1958,107
1959,101
1960,103
1961,97
1962,83
1963,78
1964,85
1965,82
1966,67
1967,51
1968,48
1969,52
1970,49
1971,63
1972,40
1973,42
1974,67
1975,51
1976,45
1977,35
1978,33
1979,33
1980,34
1981,29
1982,15
1983,23
1984,29
1985,29
1986,22
1987,18
1988,20
1989,13
1990,6
1991,19
1992,15
1993,10
1994,11
1995,14
1996,6
1997,12
1998,7
1999,5
2000,6
2001,8
2002,12
2003,0
2004,6
2005,6
2006,0
2007,7
2008,0
2009,9
2010,15
2011,6
2012,13
