year,Loyal
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,13
1891,11
1892,11
1893,5
1894,11
1895,6
1896,8
1897,0
1898,7
1899,5
1900,7
1901,10
1902,11
1903,14
1904,10
1905,9
1906,17
1907,11
1908,8
1909,17
1910,21
1911,13
1912,44
1913,45
1914,71
1915,68
1916,84
1917,74
1918,115
1919,102
1920,94
1921,93
1922,86
1923,110
1924,96
1925,98
1926,80
1927,75
1928,78
1929,68
1930,62
1931,85
1932,76
1933,61
1934,56
1935,45
1936,64
1937,48
1938,52
1939,50
1940,45
1941,54
1942,55
1943,67
1944,50
1945,57
1946,47
1947,52
1948,50
1949,25
1950,41
1951,23
1952,28
1953,15
1954,25
1955,25
1956,22
1957,25
1958,20
1959,30
1960,29
1961,19
1962,26
1963,30
1964,20
1965,15
1966,18
1967,24
1968,10
1969,15
1970,13
1971,10
1972,9
1973,9
1974,8
1975,13
1976,9
1977,9
1978,8
1979,9
1980,6
1981,9
1982,11
1983,8
1984,7
1985,8
1986,7
1987,8
1988,7
1989,5
1990,8
1991,5
1992,0
1993,0
1994,6
1995,0
1996,7
1997,6
1998,5
1999,6
2000,11
2001,11
2002,7
2003,6
2004,14
2005,17
2006,18
2007,22
2008,26
2009,39
2010,21
2011,44
2012,50
