year,Lilia
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,5
1887,5
1888,7
1889,7
1890,5
1891,0
1892,5
1893,6
1894,6
1895,7
1896,0
1897,0
1898,0
1899,7
1900,7
1901,8
1902,13
1903,11
1904,13
1905,11
1906,13
1907,17
1908,12
1909,10
1910,13
1911,0
1912,16
1913,19
1914,29
1915,26
1916,31
1917,37
1918,30
1919,37
1920,61
1921,29
1922,64
1923,48
1924,63
1925,49
1926,62
1927,63
1928,90
1929,61
1930,73
1931,54
1932,72
1933,48
1934,45
1935,40
1936,52
1937,39
1938,33
1939,27
1940,19
1941,32
1942,32
1943,25
1944,22
1945,34
1946,36
1947,43
1948,55
1949,54
1950,44
1951,62
1952,56
1953,70
1954,75
1955,72
1956,66
1957,90
1958,86
1959,91
1960,87
1961,99
1962,86
1963,94
1964,101
1965,89
1966,77
1967,87
1968,101
1969,101
1970,128
1971,131
1972,114
1973,147
1974,158
1975,154
1976,134
1977,135
1978,110
1979,143
1980,138
1981,144
1982,133
1983,118
1984,99
1985,98
1986,110
1987,97
1988,110
1989,137
1990,144
1991,138
1992,137
1993,119
1994,132
1995,128
1996,149
1997,190
1998,167
1999,181
2000,194
2001,193
2002,217
2003,224
2004,256
2005,228
2006,281
2007,307
2008,292
2009,296
2010,304
2011,304
2012,302
