year,Leita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,5
1895,0
1896,5
1897,0
1898,7
1899,6
1900,8
1901,0
1902,0
1903,5
1904,9
1905,7
1906,9
1907,5
1908,0
1909,10
1910,9
1911,10
1912,11
1913,7
1914,13
1915,13
1916,20
1917,12
1918,19
1919,11
1920,8
1921,6
1922,13
1923,14
1924,17
1925,20
1926,6
1927,14
1928,8
1929,9
1930,13
1931,15
1932,16
1933,7
1934,15
1935,12
1936,9
1937,10
1938,9
1939,6
1940,9
1941,0
1942,9
1943,0
1944,5
1945,6
1946,5
1947,9
1948,12
1949,11
1950,11
1951,7
1952,17
1953,10
1954,13
1955,11
1956,9
1957,8
1958,5
1959,14
1960,18
1961,6
1962,10
1963,8
1964,9
1965,9
1966,0
1967,6
1968,0
1969,0
1970,5
1971,6
1972,8
1973,0
1974,0
1975,0
1976,0
1977,8
1978,0
1979,0
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
