year,Lillian (F),Lillian (M)
1880,0.003335,0.000000
1881,0.003752,0.000000
1882,0.003747,0.000027
1883,0.004181,0.000028
1884,0.004555,0.000025
1885,0.004746,0.000000
1886,0.005021,0.000000
1887,0.005287,0.000024
1888,0.005530,0.000023
1889,0.005676,0.000024
1890,0.006178,0.000033
1891,0.006321,0.000031
1892,0.006442,0.000030
1893,0.006743,0.000028
1894,0.007207,0.000021
1895,0.007108,0.000034
1896,0.007558,0.000031
1897,0.007733,0.000037
1898,0.008025,0.000039
1899,0.007968,0.000024
1900,0.007582,0.000024
1901,0.007753,0.000049
1902,0.007920,0.000034
1903,0.007796,0.000031
1904,0.007780,0.000025
1905,0.007513,0.000026
1906,0.007686,0.000033
1907,0.007611,0.000032
1908,0.007437,0.000018
1909,0.007034,0.000029
1910,0.006986,0.000025
1911,0.006778,0.000020
1912,0.005635,0.000030
1913,0.005290,0.000018
1914,0.005192,0.000023
1915,0.005209,0.000013
1916,0.004959,0.000013
1917,0.004905,0.000016
1918,0.004599,0.000011
1919,0.004509,0.000012
1920,0.004441,0.000011
1921,0.004185,0.000010
1922,0.004119,0.000013
1923,0.004051,0.000015
1924,0.003821,0.000015
1925,0.003579,0.000010
1926,0.003337,0.000012
1927,0.003096,0.000019
1928,0.002908,0.000020
1929,0.002605,0.000020
1930,0.002451,0.000013
1931,0.002284,0.000018
1932,0.002061,0.000014
1933,0.001999,0.000012
1934,0.001913,0.000012
1935,0.001637,0.000008
1936,0.001500,0.000009
1937,0.001361,0.000008
1938,0.001276,0.000006
1939,0.001159,0.000007
1940,0.001096,0.000006
1941,0.001010,0.000007
1942,0.000911,0.000006
1943,0.000848,0.000005
1944,0.000787,0.000004
1945,0.000761,0.000003
1946,0.000676,0.000000
1947,0.000580,0.000000
1948,0.000613,0.000001
1949,0.000558,0.000002
1950,0.000538,0.000000
1951,0.000496,0.000002
1952,0.000456,0.000000
1953,0.000430,0.000002
1954,0.000409,0.000002
1955,0.000413,0.000002
1956,0.000395,0.000001
1957,0.000382,0.000002
1958,0.000344,0.000002
1959,0.000353,0.000000
1960,0.000345,0.000002
1961,0.000317,0.000002
1962,0.000324,0.000001
1963,0.000294,0.000002
1964,0.000274,0.000000
1965,0.000280,0.000002
1966,0.000253,0.000002
1967,0.000248,0.000001
1968,0.000241,0.000000
1969,0.000222,0.000002
1970,0.000217,0.000001
1971,0.000197,0.000001
1972,0.000197,0.000000
1973,0.000187,0.000000
1974,0.000159,0.000000
1975,0.000150,0.000000
1976,0.000158,0.000000
1977,0.000148,0.000000
1978,0.000126,0.000000
1979,0.000131,0.000002
1980,0.000148,0.000000
1981,0.000150,0.000000
1982,0.000135,0.000000
1983,0.000131,0.000000
1984,0.000134,0.000000
1985,0.000152,0.000002
1986,0.000156,0.000000
1987,0.000147,0.000000
1988,0.000175,0.000002
1989,0.000181,0.000000
1990,0.000183,0.000002
1991,0.000197,0.000000
1992,0.000195,0.000000
1993,0.000195,0.000000
1994,0.000237,0.000000
1995,0.000257,0.000000
1996,0.000309,0.000000
1997,0.000384,0.000000
1998,0.000467,0.000000
1999,0.000593,0.000001
2000,0.000688,0.000001
2001,0.000788,0.000000
2002,0.000909,0.000000
2003,0.001060,0.000000
2004,0.001239,0.000006
2005,0.001356,0.000002
2006,0.001576,0.000003
2007,0.001639,0.000003
2008,0.001734,0.000002
2009,0.001796,0.000002
2010,0.001882,0.000000
2011,0.001895,0.000002
2012,0.001961,0.000001
2013,0.001943,0.000001
2014,0.001869,0.000000
2015,0.001790,0.000001
2016,0.001739,0.000003
2017,0.001729,0.000002
2018,0.001584,0.000000
2019,0.001478,0.000000
2020,0.001352,0.000002
