year,Loy
1880,0
1881,5
1882,0
1883,0
1884,5
1885,0
1886,6
1887,6
1888,8
1889,8
1890,0
1891,5
1892,0
1893,12
1894,14
1895,14
1896,12
1897,11
1898,5
1899,15
1900,15
1901,5
1902,13
1903,20
1904,8
1905,10
1906,7
1907,21
1908,6
1909,22
1910,13
1911,22
1912,35
1913,43
1914,59
1915,95
1916,100
1917,98
1918,92
1919,104
1920,105
1921,94
1922,102
1923,83
1924,94
1925,86
1926,105
1927,86
1928,95
1929,88
1930,103
1931,93
1932,95
1933,93
1934,100
1935,100
1936,77
1937,96
1938,109
1939,85
1940,88
1941,88
1942,75
1943,89
1944,62
1945,84
1946,79
1947,68
1948,74
1949,71
1950,68
1951,62
1952,69
1953,70
1954,68
1955,49
1956,53
1957,56
1958,65
1959,52
1960,52
1961,49
1962,40
1963,42
1964,32
1965,34
1966,34
1967,35
1968,24
1969,16
1970,23
1971,27
1972,32
1973,22
1974,18
1975,16
1976,10
1977,17
1978,16
1979,17
1980,13
1981,16
1982,10
1983,8
1984,7
1985,0
1986,11
1987,7
1988,11
1989,5
1990,7
1991,8
1992,11
1993,12
1994,0
1995,6
1996,6
1997,6
1998,10
1999,0
2000,6
2001,0
2002,6
2003,6
2004,8
2005,5
2006,6
2007,8
2008,0
2009,6
2010,0
2011,7
2012,0
