year,Lavelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,8
1904,7
1905,5
1906,7
1907,12
1908,6
1909,10
1910,12
1911,5
1912,23
1913,27
1914,32
1915,53
1916,53
1917,65
1918,57
1919,54
1920,50
1921,64
1922,61
1923,50
1924,47
1925,56
1926,54
1927,47
1928,64
1929,44
1930,48
1931,36
1932,37
1933,55
1934,39
1935,41
1936,36
1937,47
1938,40
1939,38
1940,27
1941,28
1942,28
1943,26
1944,20
1945,18
1946,16
1947,30
1948,18
1949,18
1950,21
1951,22
1952,23
1953,18
1954,24
1955,26
1956,26
1957,26
1958,28
1959,24
1960,34
1961,30
1962,19
1963,28
1964,31
1965,35
1966,36
1967,39
1968,28
1969,38
1970,42
1971,52
1972,58
1973,40
1974,43
1975,56
1976,46
1977,49
1978,43
1979,36
1980,35
1981,42
1982,39
1983,53
1984,31
1985,41
1986,48
1987,33
1988,58
1989,59
1990,54
1991,48
1992,58
1993,36
1994,28
1995,39
1996,32
1997,37
1998,30
1999,17
2000,29
2001,26
2002,18
2003,31
2004,24
2005,33
2006,21
2007,36
2008,30
2009,27
2010,19
2011,25
2012,42
