year,Linna
1880,5
1881,0
1882,0
1883,6
1884,0
1885,0
1886,7
1887,0
1888,8
1889,0
1890,0
1891,7
1892,6
1893,5
1894,0
1895,5
1896,0
1897,0
1898,5
1899,5
1900,5
1901,8
1902,0
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,5
1915,5
1916,6
1917,6
1918,7
1919,8
1920,13
1921,9
1922,5
1923,9
1924,10
1925,10
1926,8
1927,7
1928,5
1929,7
1930,7
1931,5
1932,0
1933,0
1934,7
1935,0
1936,7
1937,6
1938,13
1939,9
1940,5
1941,6
1942,10
1943,12
1944,11
1945,10
1946,6
1947,13
1948,14
1949,13
1950,20
1951,10
1952,7
1953,7
1954,9
1955,0
1956,10
1957,9
1958,9
1959,7
1960,8
1961,9
1962,15
1963,9
1964,6
1965,0
1966,0
1967,7
1968,0
1969,0
1970,7
1971,5
1972,0
1973,0
1974,8
1975,6
1976,0
1977,6
1978,0
1979,0
1980,5
1981,0
1982,9
1983,7
1984,11
1985,12
1986,14
1987,13
1988,20
1989,10
1990,11
1991,8
1992,9
1993,10
1994,7
1995,10
1996,7
1997,9
1998,5
1999,0
2000,6
2001,0
2002,0
2003,6
2004,6
2005,6
2006,10
2007,8
2008,9
2009,11
2010,8
2011,6
2012,0
