year,Laurine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,6
1894,0
1895,6
1896,11
1897,9
1898,11
1899,0
1900,10
1901,12
1902,5
1903,10
1904,11
1905,9
1906,14
1907,21
1908,9
1909,15
1910,14
1911,20
1912,31
1913,23
1914,32
1915,51
1916,52
1917,61
1918,74
1919,67
1920,73
1921,72
1922,65
1923,43
1924,57
1925,60
1926,67
1927,45
1928,52
1929,38
1930,44
1931,39
1932,48
1933,36
1934,41
1935,27
1936,33
1937,26
1938,40
1939,35
1940,35
1941,36
1942,27
1943,26
1944,25
1945,30
1946,31
1947,34
1948,19
1949,35
1950,38
1951,31
1952,42
1953,29
1954,34
1955,27
1956,34
1957,34
1958,25
1959,30
1960,44
1961,31
1962,25
1963,30
1964,26
1965,28
1966,30
1967,13
1968,13
1969,14
1970,17
1971,12
1972,7
1973,5
1974,9
1975,10
1976,8
1977,0
1978,6
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,5
1986,0
1987,0
1988,8
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,5
2000,0
2001,5
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
