year,Lavonne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,5
1902,0
1903,5
1904,7
1905,7
1906,8
1907,10
1908,9
1909,14
1910,11
1911,16
1912,31
1913,36
1914,52
1915,74
1916,79
1917,126
1918,131
1919,118
1920,135
1921,195
1922,177
1923,238
1924,252
1925,248
1926,327
1927,320
1928,338
1929,336
1930,384
1931,413
1932,419
1933,398
1934,475
1935,496
1936,473
1937,463
1938,447
1939,380
1940,335
1941,359
1942,344
1943,316
1944,280
1945,297
1946,301
1947,305
1948,287
1949,278
1950,284
1951,306
1952,254
1953,275
1954,247
1955,240
1956,254
1957,235
1958,228
1959,192
1960,192
1961,177
1962,207
1963,198
1964,186
1965,181
1966,149
1967,169
1968,170
1969,151
1970,156
1971,131
1972,127
1973,92
1974,89
1975,76
1976,68
1977,65
1978,59
1979,58
1980,56
1981,49
1982,59
1983,46
1984,42
1985,41
1986,28
1987,28
1988,29
1989,25
1990,28
1991,23
1992,19
1993,22
1994,24
1995,15
1996,10
1997,12
1998,16
1999,15
2000,14
2001,10
2002,7
2003,0
2004,5
2005,5
2006,5
2007,0
2008,0
2009,0
2010,8
2011,6
2012,5
