year,Launa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,7
1889,0
1890,0
1891,5
1892,9
1893,6
1894,6
1895,7
1896,0
1897,0
1898,7
1899,8
1900,7
1901,5
1902,8
1903,5
1904,0
1905,6
1906,0
1907,7
1908,17
1909,6
1910,0
1911,12
1912,11
1913,12
1914,17
1915,16
1916,13
1917,17
1918,14
1919,21
1920,22
1921,20
1922,19
1923,22
1924,23
1925,24
1926,21
1927,22
1928,21
1929,21
1930,20
1931,22
1932,20
1933,18
1934,13
1935,22
1936,8
1937,17
1938,12
1939,23
1940,50
1941,26
1942,30
1943,36
1944,9
1945,28
1946,31
1947,31
1948,37
1949,39
1950,28
1951,44
1952,28
1953,31
1954,26
1955,23
1956,25
1957,30
1958,27
1959,39
1960,37
1961,32
1962,38
1963,35
1964,33
1965,44
1966,45
1967,49
1968,38
1969,53
1970,45
1971,33
1972,33
1973,15
1974,18
1975,15
1976,22
1977,16
1978,19
1979,16
1980,18
1981,20
1982,15
1983,23
1984,18
1985,21
1986,6
1987,16
1988,13
1989,10
1990,10
1991,10
1992,10
1993,0
1994,5
1995,6
1996,13
1997,0
1998,5
1999,0
2000,5
2001,6
2002,12
2003,29
2004,25
2005,38
2006,55
2007,36
2008,33
2009,28
2010,25
2011,19
2012,24
