year,Leeroy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,6
1889,0
1890,0
1891,0
1892,0
1893,7
1894,5
1895,0
1896,6
1897,0
1898,0
1899,5
1900,11
1901,0
1902,0
1903,10
1904,0
1905,8
1906,10
1907,10
1908,7
1909,9
1910,9
1911,9
1912,24
1913,19
1914,35
1915,34
1916,44
1917,51
1918,69
1919,77
1920,78
1921,87
1922,86
1923,80
1924,75
1925,71
1926,82
1927,95
1928,89
1929,80
1930,79
1931,56
1932,79
1933,80
1934,60
1935,65
1936,68
1937,71
1938,61
1939,66
1940,57
1941,54
1942,54
1943,54
1944,59
1945,65
1946,56
1947,57
1948,37
1949,45
1950,49
1951,29
1952,31
1953,19
1954,26
1955,24
1956,24
1957,36
1958,19
1959,24
1960,36
1961,37
1962,31
1963,27
1964,29
1965,31
1966,23
1967,33
1968,19
1969,15
1970,18
1971,21
1972,15
1973,13
1974,26
1975,17
1976,28
1977,14
1978,32
1979,23
1980,33
1981,19
1982,18
1983,5
1984,24
1985,19
1986,23
1987,22
1988,32
1989,32
1990,25
1991,26
1992,26
1993,23
1994,24
1995,24
1996,19
1997,25
1998,27
1999,14
2000,24
2001,35
2002,21
2003,17
2004,30
2005,16
2006,19
2007,29
2008,23
2009,15
2010,17
2011,25
2012,34
