year,Love
1880,5
1881,0
1882,5
1883,0
1884,8
1885,15
1886,9
1887,7
1888,16
1889,16
1890,20
1891,15
1892,10
1893,16
1894,18
1895,11
1896,7
1897,7
1898,16
1899,0
1900,15
1901,7
1902,14
1903,7
1904,10
1905,16
1906,16
1907,15
1908,12
1909,10
1910,20
1911,22
1912,5
1913,17
1914,27
1915,33
1916,34
1917,30
1918,27
1919,26
1920,27
1921,30
1922,29
1923,23
1924,35
1925,24
1926,27
1927,20
1928,27
1929,26
1930,31
1931,19
1932,31
1933,8
1934,17
1935,15
1936,0
1937,6
1938,16
1939,10
1940,5
1941,13
1942,5
1943,5
1944,18
1945,5
1946,7
1947,10
1948,0
1949,7
1950,16
1951,11
1952,5
1953,5
1954,0
1955,0
1956,8
1957,0
1958,0
1959,5
1960,0
1961,5
1962,6
1963,7
1964,7
1965,10
1966,6
1967,8
1968,6
1969,12
1970,19
1971,30
1972,36
1973,31
1974,38
1975,37
1976,41
1977,31
1978,27
1979,29
1980,17
1981,15
1982,21
1983,13
1984,13
1985,19
1986,16
1987,14
1988,22
1989,18
1990,10
1991,19
1992,16
1993,21
1994,19
1995,23
1996,30
1997,16
1998,33
1999,40
2000,62
2001,56
2002,52
2003,57
2004,60
2005,61
2006,58
2007,89
2008,85
2009,85
2010,102
2011,71
2012,119
