year,Lovina
1880,8
1881,11
1882,0
1883,10
1884,8
1885,10
1886,8
1887,0
1888,7
1889,10
1890,10
1891,14
1892,9
1893,6
1894,11
1895,16
1896,13
1897,7
1898,10
1899,11
1900,18
1901,12
1902,13
1903,16
1904,13
1905,7
1906,11
1907,14
1908,13
1909,5
1910,9
1911,7
1912,16
1913,12
1914,24
1915,39
1916,23
1917,30
1918,27
1919,28
1920,22
1921,34
1922,21
1923,27
1924,25
1925,24
1926,16
1927,26
1928,15
1929,21
1930,18
1931,18
1932,28
1933,14
1934,13
1935,15
1936,22
1937,19
1938,12
1939,18
1940,14
1941,14
1942,12
1943,16
1944,8
1945,15
1946,16
1947,15
1948,14
1949,11
1950,14
1951,7
1952,12
1953,5
1954,8
1955,8
1956,14
1957,7
1958,12
1959,14
1960,12
1961,10
1962,11
1963,20
1964,11
1965,7
1966,11
1967,0
1968,7
1969,11
1970,13
1971,13
1972,13
1973,13
1974,12
1975,7
1976,8
1977,13
1978,6
1979,11
1980,8
1981,14
1982,20
1983,14
1984,11
1985,10
1986,15
1987,16
1988,16
1989,20
1990,18
1991,17
1992,21
1993,17
1994,8
1995,14
1996,18
1997,6
1998,18
1999,12
2000,14
2001,14
2002,16
2003,16
2004,17
2005,22
2006,18
2007,21
2008,17
2009,31
2010,13
2011,13
2012,18
