year,Luanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,0
1903,0
1904,5
1905,8
1906,0
1907,0
1908,0
1909,6
1910,10
1911,0
1912,6
1913,9
1914,12
1915,8
1916,10
1917,8
1918,9
1919,15
1920,11
1921,10
1922,7
1923,10
1924,13
1925,15
1926,9
1927,12
1928,7
1929,8
1930,10
1931,11
1932,12
1933,14
1934,14
1935,15
1936,13
1937,14
1938,15
1939,14
1940,16
1941,22
1942,18
1943,19
1944,23
1945,13
1946,28
1947,47
1948,31
1949,36
1950,37
1951,28
1952,29
1953,33
1954,36
1955,23
1956,30
1957,29
1958,25
1959,31
1960,58
1961,50
1962,33
1963,37
1964,29
1965,25
1966,28
1967,25
1968,19
1969,27
1970,17
1971,16
1972,17
1973,17
1974,18
1975,12
1976,15
1977,13
1978,10
1979,14
1980,14
1981,8
1982,10
1983,10
1984,0
1985,7
1986,8
1987,5
1988,6
1989,11
1990,10
1991,5
1992,0
1993,7
1994,8
1995,6
1996,7
1997,0
1998,9
1999,12
2000,6
2001,7
2002,16
2003,12
2004,13
2005,10
2006,8
2007,15
2008,9
2009,15
2010,16
2011,16
2012,12
