year,Luigi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,6
1903,0
1904,0
1905,6
1906,0
1907,7
1908,6
1909,0
1910,10
1911,6
1912,17
1913,28
1914,29
1915,40
1916,30
1917,40
1918,29
1919,26
1920,36
1921,34
1922,39
1923,39
1924,33
1925,30
1926,32
1927,30
1928,29
1929,23
1930,23
1931,15
1932,14
1933,11
1934,7
1935,11
1936,14
1937,8
1938,12
1939,8
1940,5
1941,12
1942,9
1943,12
1944,0
1945,5
1946,5
1947,7
1948,13
1949,12
1950,8
1951,17
1952,9
1953,14
1954,13
1955,15
1956,12
1957,14
1958,24
1959,34
1960,33
1961,40
1962,31
1963,51
1964,56
1965,45
1966,47
1967,59
1968,55
1969,75
1970,69
1971,59
1972,55
1973,54
1974,48
1975,55
1976,50
1977,49
1978,44
1979,60
1980,54
1981,63
1982,49
1983,49
1984,41
1985,41
1986,32
1987,47
1988,73
1989,61
1990,65
1991,53
1992,65
1993,50
1994,45
1995,50
1996,50
1997,45
1998,50
1999,43
2000,61
2001,54
2002,61
2003,55
2004,52
2005,70
2006,50
2007,57
2008,57
2009,52
2010,46
2011,36
2012,35
