year,Lucia
1880,15
1881,16
1882,20
1883,24
1884,22
1885,23
1886,33
1887,15
1888,34
1889,38
1890,31
1891,35
1892,37
1893,36
1894,32
1895,25
1896,34
1897,36
1898,49
1899,32
1900,42
1901,41
1902,41
1903,25
1904,46
1905,42
1906,58
1907,56
1908,44
1909,69
1910,64
1911,65
1912,88
1913,110
1914,125
1915,140
1916,167
1917,153
1918,191
1919,157
1920,147
1921,182
1922,189
1923,171
1924,182
1925,154
1926,189
1927,186
1928,192
1929,172
1930,181
1931,162
1932,184
1933,166
1934,161
1935,154
1936,174
1937,156
1938,161
1939,142
1940,158
1941,169
1942,182
1943,182
1944,167
1945,168
1946,198
1947,204
1948,220
1949,223
1950,209
1951,252
1952,258
1953,259
1954,265
1955,289
1956,218
1957,243
1958,232
1959,267
1960,259
1961,285
1962,231
1963,251
1964,292
1965,250
1966,262
1967,246
1968,252
1969,208
1970,252
1971,225
1972,228
1973,216
1974,195
1975,254
1976,278
1977,272
1978,277
1979,274
1980,316
1981,327
1982,317
1983,309
1984,341
1985,375
1986,346
1987,330
1988,312
1989,405
1990,408
1991,397
1992,401
1993,429
1994,377
1995,387
1996,400
1997,378
1998,370
1999,433
2000,552
2001,550
2002,523
2003,630
2004,747
2005,852
2006,976
2007,1088
2008,1096
2009,1079
2010,1236
2011,1324
2012,1302
