year,Louanna
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,5
1889,0
1890,0
1891,9
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,7
1902,5
1903,0
1904,5
1905,9
1906,0
1907,5
1908,9
1909,8
1910,7
1911,6
1912,8
1913,7
1914,10
1915,17
1916,19
1917,14
1918,12
1919,22
1920,18
1921,25
1922,23
1923,19
1924,17
1925,19
1926,25
1927,22
1928,22
1929,16
1930,23
1931,14
1932,19
1933,18
1934,21
1935,17
1936,27
1937,24
1938,21
1939,28
1940,11
1941,29
1942,16
1943,22
1944,18
1945,10
1946,18
1947,28
1948,31
1949,17
1950,30
1951,12
1952,16
1953,13
1954,18
1955,14
1956,16
1957,14
1958,12
1959,13
1960,15
1961,16
1962,15
1963,18
1964,18
1965,11
1966,17
1967,10
1968,8
1969,18
1970,13
1971,10
1972,8
1973,10
1974,7
1975,15
1976,12
1977,10
1978,8
1979,8
1980,10
1981,8
1982,0
1983,0
1984,8
1985,0
1986,0
1987,5
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,5
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,0
2010,6
2011,5
2012,0
