year,Lino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,9
1913,18
1914,20
1915,16
1916,13
1917,12
1918,18
1919,24
1920,24
1921,35
1922,27
1923,38
1924,27
1925,29
1926,32
1927,31
1928,24
1929,29
1930,29
1931,24
1932,18
1933,28
1934,16
1935,22
1936,25
1937,22
1938,16
1939,17
1940,14
1941,20
1942,21
1943,18
1944,22
1945,20
1946,26
1947,22
1948,15
1949,23
1950,27
1951,17
1952,36
1953,32
1954,26
1955,36
1956,26
1957,27
1958,24
1959,41
1960,37
1961,34
1962,42
1963,46
1964,25
1965,34
1966,43
1967,29
1968,34
1969,32
1970,35
1971,46
1972,36
1973,37
1974,29
1975,33
1976,42
1977,39
1978,33
1979,34
1980,42
1981,48
1982,39
1983,44
1984,36
1985,49
1986,34
1987,52
1988,31
1989,65
1990,45
1991,49
1992,53
1993,41
1994,56
1995,50
1996,62
1997,47
1998,54
1999,46
2000,42
2001,57
2002,64
2003,70
2004,57
2005,61
2006,65
2007,66
2008,53
2009,56
2010,50
2011,50
2012,54
