year,Lorenz
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,7
1888,0
1889,6
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,5
1905,0
1906,0
1907,5
1908,0
1909,5
1910,0
1911,10
1912,19
1913,28
1914,24
1915,38
1916,38
1917,33
1918,39
1919,37
1920,37
1921,26
1922,33
1923,23
1924,28
1925,25
1926,25
1927,16
1928,18
1929,29
1930,22
1931,14
1932,19
1933,22
1934,17
1935,20
1936,11
1937,15
1938,15
1939,10
1940,12
1941,11
1942,14
1943,15
1944,12
1945,12
1946,6
1947,11
1948,12
1949,0
1950,13
1951,10
1952,6
1953,11
1954,6
1955,14
1956,12
1957,11
1958,10
1959,7
1960,12
1961,8
1962,11
1963,9
1964,11
1965,10
1966,10
1967,8
1968,6
1969,0
1970,15
1971,13
1972,5
1973,8
1974,8
1975,11
1976,0
1977,0
1978,5
1979,5
1980,6
1981,5
1982,0
1983,6
1984,6
1985,8
1986,0
1987,7
1988,8
1989,8
1990,8
1991,12
1992,10
1993,8
1994,17
1995,15
1996,18
1997,30
1998,31
1999,33
2000,24
2001,27
2002,18
2003,23
2004,21
2005,23
2006,30
2007,14
2008,19
2009,18
2010,17
2011,18
2012,17
