year,Lyla
1880,0
1881,0
1882,0
1883,0
1884,7
1885,5
1886,0
1887,0
1888,0
1889,6
1890,10
1891,7
1892,9
1893,14
1894,13
1895,11
1896,15
1897,12
1898,13
1899,5
1900,14
1901,9
1902,11
1903,13
1904,10
1905,10
1906,16
1907,11
1908,20
1909,10
1910,21
1911,13
1912,35
1913,35
1914,43
1915,52
1916,60
1917,51
1918,67
1919,50
1920,69
1921,86
1922,78
1923,82
1924,103
1925,117
1926,89
1927,79
1928,73
1929,80
1930,75
1931,66
1932,64
1933,64
1934,66
1935,62
1936,61
1937,50
1938,61
1939,65
1940,74
1941,53
1942,70
1943,81
1944,43
1945,61
1946,61
1947,49
1948,66
1949,51
1950,50
1951,62
1952,48
1953,50
1954,46
1955,37
1956,51
1957,40
1958,26
1959,31
1960,29
1961,30
1962,33
1963,28
1964,20
1965,14
1966,14
1967,11
1968,14
1969,17
1970,17
1971,16
1972,18
1973,19
1974,18
1975,22
1976,17
1977,28
1978,15
1979,20
1980,18
1981,20
1982,21
1983,17
1984,21
1985,26
1986,23
1987,15
1988,24
1989,29
1990,33
1991,30
1992,26
1993,29
1994,20
1995,26
1996,29
1997,34
1998,64
1999,84
2000,97
2001,118
2002,139
2003,196
2004,208
2005,293
2006,449
2007,887
2008,1506
2009,2068
2010,2285
2011,2413
2012,2218
