year,Lannie
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,8
1890,0
1891,5
1892,6
1893,0
1894,6
1895,12
1896,10
1897,10
1898,13
1899,8
1900,16
1901,9
1902,10
1903,10
1904,14
1905,8
1906,7
1907,10
1908,11
1909,13
1910,22
1911,17
1912,23
1913,11
1914,26
1915,32
1916,24
1917,33
1918,24
1919,33
1920,27
1921,27
1922,29
1923,28
1924,36
1925,32
1926,35
1927,36
1928,27
1929,27
1930,26
1931,21
1932,31
1933,22
1934,28
1935,41
1936,22
1937,43
1938,32
1939,36
1940,50
1941,57
1942,61
1943,48
1944,56
1945,50
1946,70
1947,65
1948,62
1949,157
1950,114
1951,106
1952,69
1953,54
1954,79
1955,69
1956,80
1957,50
1958,48
1959,39
1960,43
1961,44
1962,48
1963,54
1964,31
1965,37
1966,18
1967,23
1968,29
1969,26
1970,31
1971,27
1972,13
1973,26
1974,27
1975,31
1976,33
1977,16
1978,16
1979,23
1980,23
1981,17
1982,19
1983,19
1984,12
1985,7
1986,11
1987,10
1988,7
1989,0
1990,6
1991,20
1992,6
1993,8
1994,0
1995,5
1996,0
1997,0
1998,14
1999,7
2000,6
2001,6
2002,13
2003,14
2004,11
2005,12
2006,13
2007,11
2008,13
2009,5
2010,10
2011,8
2012,8
