year,Lynette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,0
1902,7
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,6
1910,8
1911,19
1912,9
1913,11
1914,21
1915,31
1916,19
1917,23
1918,31
1919,36
1920,37
1921,36
1922,40
1923,60
1924,55
1925,43
1926,50
1927,47
1928,41
1929,46
1930,45
1931,52
1932,68
1933,73
1934,69
1935,85
1936,102
1937,103
1938,118
1939,136
1940,145
1941,197
1942,243
1943,275
1944,261
1945,407
1946,457
1947,574
1948,608
1949,745
1950,811
1951,870
1952,890
1953,989
1954,1068
1955,1089
1956,1138
1957,1034
1958,1118
1959,1129
1960,1212
1961,1275
1962,1208
1963,1257
1964,1308
1965,1409
1966,1336
1967,1301
1968,1287
1969,1176
1970,1163
1971,1086
1972,984
1973,734
1974,626
1975,620
1976,586
1977,537
1978,458
1979,511
1980,433
1981,411
1982,395
1983,411
1984,342
1985,316
1986,322
1987,323
1988,277
1989,302
1990,239
1991,205
1992,240
1993,187
1994,186
1995,168
1996,140
1997,153
1998,115
1999,132
2000,125
2001,130
2002,109
2003,131
2004,125
2005,132
2006,113
2007,107
2008,126
2009,123
2010,106
2011,91
2012,101
