year,Laurie
1880,0
1881,0
1882,5
1883,0
1884,8
1885,5
1886,13
1887,9
1888,8
1889,8
1890,0
1891,12
1892,8
1893,16
1894,5
1895,12
1896,18
1897,7
1898,5
1899,13
1900,24
1901,11
1902,14
1903,7
1904,5
1905,6
1906,11
1907,18
1908,23
1909,18
1910,26
1911,14
1912,31
1913,41
1914,46
1915,62
1916,72
1917,72
1918,74
1919,60
1920,76
1921,76
1922,68
1923,83
1924,80
1925,72
1926,85
1927,85
1928,80
1929,78
1930,99
1931,64
1932,84
1933,71
1934,116
1935,95
1936,108
1937,116
1938,130
1939,169
1940,154
1941,204
1942,266
1943,290
1944,394
1945,621
1946,799
1947,834
1948,835
1949,1144
1950,1427
1951,2382
1952,3296
1953,3720
1954,4309
1955,4977
1956,6232
1957,6571
1958,6755
1959,7564
1960,10176
1961,10463
1962,10708
1963,9308
1964,7868
1965,6561
1966,5687
1967,4941
1968,4364
1969,4644
1970,4409
1971,3767
1972,3242
1973,2913
1974,2572
1975,2294
1976,2052
1977,1773
1978,1623
1979,1586
1980,1343
1981,1235
1982,1192
1983,959
1984,816
1985,781
1986,590
1987,519
1988,476
1989,448
1990,349
1991,314
1992,269
1993,200
1994,194
1995,166
1996,135
1997,146
1998,137
1999,117
2000,99
2001,98
2002,87
2003,89
2004,76
2005,97
2006,90
2007,69
2008,80
2009,56
2010,61
2011,49
2012,41
