year,Luna
1880,15
1881,18
1882,0
1883,17
1884,18
1885,15
1886,20
1887,22
1888,24
1889,19
1890,24
1891,24
1892,25
1893,27
1894,30
1895,23
1896,27
1897,36
1898,32
1899,30
1900,30
1901,23
1902,32
1903,28
1904,30
1905,30
1906,26
1907,33
1908,39
1909,27
1910,38
1911,23
1912,31
1913,34
1914,44
1915,44
1916,58
1917,49
1918,45
1919,53
1920,47
1921,61
1922,50
1923,56
1924,34
1925,43
1926,22
1927,38
1928,28
1929,34
1930,21
1931,18
1932,29
1933,19
1934,15
1935,19
1936,12
1937,16
1938,12
1939,12
1940,8
1941,13
1942,17
1943,10
1944,12
1945,8
1946,6
1947,0
1948,9
1949,8
1950,6
1951,8
1952,5
1953,0
1954,7
1955,0
1956,5
1957,8
1958,5
1959,0
1960,6
1961,0
1962,6
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,12
1970,11
1971,0
1972,11
1973,0
1974,5
1975,9
1976,8
1977,8
1978,7
1979,8
1980,10
1981,11
1982,12
1983,9
1984,11
1985,8
1986,13
1987,5
1988,16
1989,20
1990,15
1991,21
1992,22
1993,22
1994,47
1995,50
1996,69
1997,91
1998,103
1999,109
2000,144
2001,169
2002,177
2003,270
2004,369
2005,477
2006,592
2007,709
2008,806
2009,1012
2010,946
2011,1144
2012,1412
