year,Lonzo
1880,10
1881,11
1882,10
1883,15
1884,14
1885,12
1886,13
1887,14
1888,18
1889,11
1890,17
1891,12
1892,15
1893,7
1894,8
1895,16
1896,14
1897,10
1898,15
1899,0
1900,22
1901,5
1902,15
1903,19
1904,15
1905,20
1906,21
1907,19
1908,23
1909,22
1910,25
1911,13
1912,29
1913,34
1914,38
1915,60
1916,63
1917,67
1918,68
1919,85
1920,71
1921,71
1922,62
1923,62
1924,85
1925,53
1926,61
1927,76
1928,68
1929,50
1930,49
1931,44
1932,40
1933,47
1934,45
1935,56
1936,41
1937,53
1938,28
1939,52
1940,48
1941,40
1942,42
1943,52
1944,52
1945,31
1946,31
1947,50
1948,56
1949,47
1950,57
1951,40
1952,49
1953,54
1954,40
1955,48
1956,36
1957,42
1958,43
1959,38
1960,32
1961,30
1962,35
1963,29
1964,28
1965,24
1966,30
1967,18
1968,15
1969,19
1970,30
1971,23
1972,24
1973,16
1974,26
1975,28
1976,22
1977,22
1978,19
1979,10
1980,23
1981,15
1982,19
1983,16
1984,12
1985,17
1986,17
1987,11
1988,22
1989,11
1990,16
1991,9
1992,17
1993,7
1994,11
1995,13
1996,0
1997,6
1998,9
1999,6
2000,9
2001,8
2002,9
2003,0
2004,14
2005,7
2006,8
2007,12
2008,9
2009,7
2010,9
2011,0
2012,6
