year,Luz
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,8
1888,5
1889,0
1890,0
1891,5
1892,5
1893,8
1894,0
1895,6
1896,6
1897,5
1898,5
1899,7
1900,7
1901,14
1902,9
1903,8
1904,7
1905,17
1906,13
1907,16
1908,13
1909,7
1910,19
1911,17
1912,33
1913,33
1914,26
1915,36
1916,29
1917,40
1918,42
1919,53
1920,64
1921,62
1922,67
1923,53
1924,78
1925,72
1926,78
1927,101
1928,106
1929,81
1930,75
1931,48
1932,56
1933,51
1934,41
1935,52
1936,30
1937,38
1938,37
1939,31
1940,51
1941,31
1942,38
1943,57
1944,58
1945,52
1946,67
1947,78
1948,93
1949,88
1950,97
1951,124
1952,109
1953,155
1954,192
1955,205
1956,242
1957,221
1958,253
1959,259
1960,287
1961,294
1962,291
1963,332
1964,352
1965,317
1966,379
1967,356
1968,428
1969,453
1970,435
1971,410
1972,418
1973,356
1974,388
1975,391
1976,385
1977,371
1978,370
1979,457
1980,436
1981,366
1982,387
1983,363
1984,324
1985,346
1986,329
1987,360
1988,322
1989,353
1990,389
1991,374
1992,372
1993,366
1994,348
1995,329
1996,327
1997,484
1998,522
1999,586
2000,499
2001,529
2002,443
2003,486
2004,481
2005,478
2006,505
2007,497
2008,412
2009,386
2010,373
2011,305
2012,312
