year,Lana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,6
1888,9
1889,0
1890,0
1891,5
1892,11
1893,14
1894,8
1895,7
1896,11
1897,7
1898,0
1899,0
1900,10
1901,9
1902,8
1903,9
1904,6
1905,14
1906,8
1907,6
1908,5
1909,6
1910,10
1911,9
1912,10
1913,7
1914,9
1915,14
1916,21
1917,22
1918,22
1919,18
1920,14
1921,21
1922,26
1923,23
1924,26
1925,36
1926,22
1927,27
1928,17
1929,18
1930,22
1931,11
1932,13
1933,14
1934,19
1935,15
1936,13
1937,17
1938,40
1939,87
1940,424
1941,625
1942,856
1943,1004
1944,902
1945,944
1946,1300
1947,1365
1948,1468
1949,1317
1950,1314
1951,1198
1952,1108
1953,1007
1954,808
1955,768
1956,680
1957,650
1958,672
1959,723
1960,776
1961,819
1962,787
1963,816
1964,884
1965,780
1966,877
1967,918
1968,806
1969,863
1970,780
1971,707
1972,600
1973,460
1974,457
1975,444
1976,385
1977,475
1978,510
1979,417
1980,456
1981,378
1982,334
1983,340
1984,376
1985,336
1986,302
1987,324
1988,327
1989,303
1990,249
1991,234
1992,231
1993,217
1994,191
1995,205
1996,182
1997,179
1998,185
1999,206
2000,207
2001,234
2002,379
2003,572
2004,640
2005,705
2006,771
2007,812
2008,729
2009,705
2010,626
2011,608
2012,705
