year,Lorne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,8
1908,7
1909,0
1910,7
1911,7
1912,11
1913,6
1914,21
1915,19
1916,22
1917,23
1918,29
1919,23
1920,23
1921,37
1922,21
1923,25
1924,27
1925,33
1926,38
1927,35
1928,35
1929,27
1930,31
1931,18
1932,28
1933,21
1934,27
1935,25
1936,26
1937,27
1938,18
1939,28
1940,24
1941,20
1942,22
1943,30
1944,23
1945,11
1946,20
1947,27
1948,29
1949,34
1950,21
1951,27
1952,22
1953,13
1954,28
1955,30
1956,27
1957,26
1958,31
1959,24
1960,49
1961,93
1962,176
1963,159
1964,180
1965,188
1966,186
1967,144
1968,147
1969,136
1970,116
1971,92
1972,95
1973,65
1974,66
1975,49
1976,52
1977,30
1978,45
1979,48
1980,56
1981,55
1982,48
1983,61
1984,48
1985,58
1986,42
1987,47
1988,36
1989,32
1990,42
1991,34
1992,35
1993,25
1994,38
1995,17
1996,19
1997,11
1998,21
1999,16
2000,19
2001,21
2002,18
2003,10
2004,11
2005,6
2006,17
2007,8
2008,14
2009,9
2010,7
2011,9
2012,8
