year,Lily
1880,41
1881,46
1882,63
1883,62
1884,60
1885,88
1886,75
1887,59
1888,102
1889,84
1890,96
1891,73
1892,98
1893,83
1894,108
1895,101
1896,100
1897,113
1898,92
1899,115
1900,126
1901,89
1902,99
1903,95
1904,105
1905,134
1906,82
1907,104
1908,102
1909,109
1910,154
1911,130
1912,245
1913,212
1914,252
1915,343
1916,373
1917,330
1918,388
1919,368
1920,386
1921,407
1922,418
1923,418
1924,409
1925,363
1926,344
1927,370
1928,346
1929,302
1930,304
1931,268
1932,246
1933,241
1934,221
1935,210
1936,202
1937,178
1938,195
1939,168
1940,186
1941,166
1942,173
1943,160
1944,154
1945,142
1946,122
1947,138
1948,139
1949,131
1950,135
1951,134
1952,134
1953,130
1954,144
1955,164
1956,159
1957,149
1958,149
1959,127
1960,127
1961,128
1962,119
1963,124
1964,132
1965,94
1966,112
1967,94
1968,99
1969,116
1970,126
1971,122
1972,140
1973,102
1974,107
1975,121
1976,134
1977,106
1978,111
1979,153
1980,188
1981,222
1982,206
1983,206
1984,223
1985,241
1986,291
1987,307
1988,397
1989,421
1990,397
1991,469
1992,523
1993,555
1994,647
1995,852
1996,1092
1997,1355
1998,1751
1999,2123
2000,2731
2001,3192
2002,3834
2003,4439
2004,5420
2005,6103
2006,6770
2007,7502
2008,8121
2009,8098
2010,7979
2011,8171
2012,7944
