year,Linwood
1880,5
1881,5
1882,0
1883,10
1884,6
1885,0
1886,9
1887,9
1888,10
1889,7
1890,9
1891,8
1892,6
1893,8
1894,12
1895,13
1896,15
1897,13
1898,16
1899,14
1900,17
1901,17
1902,22
1903,21
1904,19
1905,13
1906,19
1907,22
1908,27
1909,18
1910,41
1911,41
1912,75
1913,91
1914,119
1915,135
1916,149
1917,147
1918,137
1919,159
1920,161
1921,179
1922,192
1923,175
1924,188
1925,173
1926,175
1927,206
1928,201
1929,161
1930,186
1931,158
1932,176
1933,147
1934,173
1935,155
1936,156
1937,189
1938,180
1939,164
1940,163
1941,183
1942,209
1943,230
1944,213
1945,227
1946,233
1947,247
1948,277
1949,270
1950,271
1951,217
1952,250
1953,261
1954,252
1955,234
1956,212
1957,208
1958,205
1959,205
1960,175
1961,166
1962,165
1963,149
1964,151
1965,142
1966,100
1967,130
1968,107
1969,113
1970,117
1971,101
1972,100
1973,77
1974,76
1975,77
1976,51
1977,81
1978,67
1979,58
1980,67
1981,68
1982,62
1983,51
1984,39
1985,31
1986,47
1987,36
1988,36
1989,43
1990,41
1991,34
1992,28
1993,29
1994,25
1995,29
1996,25
1997,22
1998,24
1999,19
2000,13
2001,16
2002,10
2003,24
2004,14
2005,15
2006,18
2007,14
2008,16
2009,7
2010,8
2011,12
2012,8
