year,Lacie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,8
1900,6
1901,0
1902,6
1903,0
1904,0
1905,5
1906,0
1907,0
1908,11
1909,7
1910,10
1911,6
1912,13
1913,0
1914,8
1915,9
1916,7
1917,9
1918,6
1919,7
1920,15
1921,16
1922,13
1923,13
1924,7
1925,6
1926,8
1927,11
1928,8
1929,11
1930,6
1931,0
1932,0
1933,0
1934,5
1935,0
1936,5
1937,0
1938,0
1939,0
1940,8
1941,7
1942,0
1943,0
1944,7
1945,0
1946,5
1947,0
1948,0
1949,5
1950,6
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,6
1960,6
1961,5
1962,19
1963,14
1964,8
1965,0
1966,9
1967,0
1968,7
1969,15
1970,21
1971,18
1972,17
1973,12
1974,17
1975,76
1976,49
1977,78
1978,188
1979,174
1980,181
1981,241
1982,297
1983,303
1984,375
1985,339
1986,331
1987,364
1988,347
1989,380
1990,349
1991,373
1992,340
1993,281
1994,248
1995,231
1996,198
1997,206
1998,191
1999,191
2000,181
2001,154
2002,144
2003,304
2004,281
2005,299
2006,271
2007,217
2008,235
2009,190
2010,180
2011,172
2012,175
