year,Lera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,5
1887,6
1888,15
1889,17
1890,7
1891,0
1892,15
1893,11
1894,13
1895,11
1896,15
1897,15
1898,18
1899,19
1900,18
1901,13
1902,19
1903,29
1904,20
1905,33
1906,24
1907,14
1908,32
1909,30
1910,35
1911,30
1912,42
1913,47
1914,50
1915,46
1916,60
1917,65
1918,63
1919,62
1920,70
1921,73
1922,55
1923,63
1924,56
1925,57
1926,56
1927,52
1928,41
1929,45
1930,41
1931,37
1932,34
1933,39
1934,28
1935,34
1936,27
1937,24
1938,21
1939,23
1940,26
1941,17
1942,22
1943,25
1944,21
1945,15
1946,25
1947,15
1948,15
1949,13
1950,16
1951,19
1952,19
1953,12
1954,17
1955,12
1956,17
1957,13
1958,13
1959,15
1960,15
1961,10
1962,15
1963,14
1964,12
1965,5
1966,5
1967,7
1968,5
1969,7
1970,11
1971,0
1972,6
1973,0
1974,7
1975,10
1976,8
1977,6
1978,0
1979,8
1980,9
1981,7
1982,7
1983,7
1984,10
1985,7
1986,6
1987,5
1988,0
1989,6
1990,6
1991,6
1992,7
1993,6
1994,0
1995,0
1996,0
1997,0
1998,6
1999,6
2000,9
2001,6
2002,0
2003,0
2004,5
2005,0
2006,7
2007,12
2008,9
2009,10
2010,7
2011,9
2012,10
