year,Lila
1880,36
1881,42
1882,65
1883,69
1884,73
1885,62
1886,69
1887,74
1888,88
1889,113
1890,120
1891,128
1892,147
1893,167
1894,161
1895,175
1896,201
1897,176
1898,208
1899,190
1900,268
1901,181
1902,239
1903,206
1904,259
1905,211
1906,242
1907,218
1908,254
1909,259
1910,311
1911,302
1912,396
1913,430
1914,560
1915,684
1916,708
1917,678
1918,748
1919,749
1920,846
1921,894
1922,924
1923,1063
1924,1058
1925,1251
1926,1082
1927,1061
1928,1038
1929,1106
1930,1208
1931,999
1932,953
1933,859
1934,852
1935,759
1936,646
1937,578
1938,532
1939,488
1940,529
1941,522
1942,482
1943,487
1944,414
1945,368
1946,386
1947,411
1948,421
1949,387
1950,351
1951,364
1952,412
1953,339
1954,361
1955,355
1956,428
1957,362
1958,293
1959,303
1960,291
1961,262
1962,195
1963,234
1964,226
1965,167
1966,146
1967,126
1968,115
1969,141
1970,123
1971,112
1972,132
1973,135
1974,147
1975,103
1976,112
1977,118
1978,114
1979,136
1980,150
1981,149
1982,149
1983,123
1984,97
1985,133
1986,114
1987,112
1988,103
1989,126
1990,124
1991,133
1992,109
1993,106
1994,139
1995,124
1996,131
1997,155
1998,224
1999,312
2000,306
2001,394
2002,414
2003,490
2004,599
2005,679
2006,1006
2007,1356
2008,1851
2009,1934
2010,1968
2011,1920
2012,1722
