year,Leana
1880,6
1881,0
1882,0
1883,0
1884,6
1885,5
1886,9
1887,0
1888,9
1889,9
1890,0
1891,0
1892,7
1893,5
1894,9
1895,9
1896,11
1897,5
1898,6
1899,5
1900,13
1901,8
1902,5
1903,10
1904,20
1905,15
1906,10
1907,13
1908,9
1909,15
1910,19
1911,7
1912,14
1913,11
1914,20
1915,18
1916,22
1917,24
1918,35
1919,22
1920,14
1921,15
1922,32
1923,20
1924,19
1925,22
1926,19
1927,16
1928,25
1929,12
1930,13
1931,19
1932,15
1933,12
1934,5
1935,13
1936,14
1937,13
1938,13
1939,14
1940,14
1941,19
1942,11
1943,13
1944,18
1945,19
1946,13
1947,26
1948,12
1949,18
1950,24
1951,18
1952,29
1953,17
1954,27
1955,20
1956,23
1957,20
1958,28
1959,29
1960,23
1961,20
1962,23
1963,35
1964,22
1965,24
1966,19
1967,23
1968,27
1969,31
1970,36
1971,38
1972,37
1973,24
1974,40
1975,31
1976,43
1977,40
1978,63
1979,46
1980,52
1981,44
1982,48
1983,34
1984,54
1985,56
1986,47
1987,45
1988,68
1989,66
1990,77
1991,70
1992,68
1993,56
1994,57
1995,59
1996,69
1997,68
1998,63
1999,63
2000,70
2001,60
2002,77
2003,81
2004,64
2005,92
2006,97
2007,72
2008,97
2009,95
2010,99
2011,77
2012,74
