year,Loraine
1880,0
1881,0
1882,0
1883,8
1884,6
1885,0
1886,11
1887,0
1888,14
1889,15
1890,18
1891,15
1892,22
1893,26
1894,22
1895,26
1896,30
1897,29
1898,36
1899,34
1900,42
1901,37
1902,46
1903,55
1904,66
1905,60
1906,63
1907,77
1908,73
1909,90
1910,111
1911,121
1912,169
1913,193
1914,257
1915,317
1916,328
1917,382
1918,410
1919,427
1920,406
1921,427
1922,440
1923,436
1924,400
1925,434
1926,420
1927,396
1928,400
1929,366
1930,343
1931,285
1932,292
1933,240
1934,223
1935,217
1936,170
1937,179
1938,158
1939,171
1940,166
1941,180
1942,232
1943,203
1944,162
1945,221
1946,240
1947,236
1948,212
1949,184
1950,181
1951,208
1952,196
1953,186
1954,230
1955,219
1956,215
1957,227
1958,234
1959,231
1960,220
1961,228
1962,203
1963,176
1964,139
1965,132
1966,110
1967,100
1968,111
1969,123
1970,93
1971,99
1972,79
1973,63
1974,70
1975,54
1976,64
1977,63
1978,53
1979,49
1980,54
1981,45
1982,55
1983,33
1984,46
1985,42
1986,39
1987,28
1988,33
1989,37
1990,38
1991,38
1992,34
1993,22
1994,17
1995,18
1996,15
1997,24
1998,23
1999,35
2000,12
2001,22
2002,20
2003,18
2004,19
2005,23
2006,24
2007,29
2008,18
2009,16
2010,22
2011,16
2012,22
