year,Linus
1880,0
1881,0
1882,10
1883,0
1884,10
1885,5
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,7
1894,7
1895,5
1896,7
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,7
1906,5
1907,0
1908,0
1909,6
1910,8
1911,9
1912,20
1913,31
1914,30
1915,47
1916,49
1917,51
1918,49
1919,46
1920,55
1921,62
1922,45
1923,46
1924,48
1925,54
1926,61
1927,46
1928,46
1929,41
1930,34
1931,30
1932,39
1933,28
1934,30
1935,36
1936,33
1937,25
1938,40
1939,28
1940,45
1941,34
1942,43
1943,35
1944,33
1945,32
1946,24
1947,29
1948,32
1949,33
1950,29
1951,19
1952,31
1953,30
1954,30
1955,31
1956,32
1957,25
1958,35
1959,20
1960,34
1961,24
1962,31
1963,26
1964,19
1965,21
1966,24
1967,16
1968,20
1969,19
1970,15
1971,21
1972,14
1973,10
1974,17
1975,14
1976,10
1977,11
1978,14
1979,13
1980,17
1981,14
1982,7
1983,8
1984,10
1985,8
1986,9
1987,14
1988,10
1989,9
1990,14
1991,6
1992,16
1993,11
1994,18
1995,18
1996,23
1997,32
1998,27
1999,49
2000,48
2001,44
2002,41
2003,50
2004,63
2005,66
2006,66
2007,91
2008,113
2009,111
2010,117
2011,126
2012,140
