year,Llewellyn
1880,9
1881,8
1882,11
1883,8
1884,0
1885,8
1886,9
1887,7
1888,7
1889,5
1890,7
1891,5
1892,6
1893,7
1894,12
1895,10
1896,10
1897,9
1898,9
1899,9
1900,0
1901,5
1902,6
1903,6
1904,11
1905,5
1906,19
1907,0
1908,9
1909,16
1910,18
1911,23
1912,41
1913,39
1914,48
1915,60
1916,75
1917,73
1918,79
1919,61
1920,53
1921,75
1922,72
1923,68
1924,72
1925,56
1926,64
1927,63
1928,51
1929,64
1930,55
1931,48
1932,48
1933,51
1934,39
1935,44
1936,53
1937,53
1938,53
1939,36
1940,48
1941,48
1942,46
1943,35
1944,47
1945,25
1946,38
1947,39
1948,34
1949,39
1950,38
1951,32
1952,49
1953,36
1954,41
1955,44
1956,56
1957,53
1958,48
1959,47
1960,49
1961,35
1962,37
1963,39
1964,34
1965,26
1966,27
1967,30
1968,27
1969,22
1970,28
1971,28
1972,32
1973,32
1974,28
1975,15
1976,16
1977,19
1978,17
1979,17
1980,19
1981,15
1982,20
1983,17
1984,10
1985,16
1986,14
1987,15
1988,14
1989,18
1990,13
1991,5
1992,6
1993,5
1994,11
1995,11
1996,7
1997,6
1998,0
1999,9
2000,10
2001,0
2002,0
2003,6
2004,5
2005,5
2006,5
2007,0
2008,11
2009,0
2010,11
2011,8
2012,10
