year,Link
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,6
1912,7
1913,5
1914,8
1915,7
1916,7
1917,8
1918,0
1919,7
1920,6
1921,7
1922,0
1923,0
1924,8
1925,7
1926,5
1927,9
1928,7
1929,0
1930,6
1931,6
1932,0
1933,0
1934,0
1935,0
1936,0
1937,6
1938,0
1939,0
1940,0
1941,5
1942,5
1943,0
1944,0
1945,7
1946,8
1947,0
1948,0
1949,15
1950,5
1951,0
1952,11
1953,7
1954,9
1955,5
1956,0
1957,11
1958,9
1959,11
1960,6
1961,16
1962,13
1963,29
1964,38
1965,11
1966,18
1967,7
1968,5
1969,10
1970,24
1971,20
1972,17
1973,13
1974,12
1975,15
1976,9
1977,11
1978,11
1979,6
1980,5
1981,8
1982,5
1983,0
1984,0
1985,0
1986,7
1987,0
1988,5
1989,5
1990,0
1991,5
1992,6
1993,5
1994,7
1995,0
1996,0
1997,5
1998,5
1999,0
2000,0
2001,6
2002,8
2003,13
2004,15
2005,7
2006,21
2007,28
2008,31
2009,28
2010,31
2011,36
2012,52
