year,Lilla
1880,35
1881,32
1882,44
1883,43
1884,36
1885,43
1886,52
1887,27
1888,56
1889,40
1890,45
1891,44
1892,55
1893,43
1894,49
1895,47
1896,55
1897,46
1898,39
1899,42
1900,57
1901,43
1902,49
1903,40
1904,36
1905,54
1906,41
1907,44
1908,40
1909,27
1910,39
1911,37
1912,47
1913,52
1914,62
1915,58
1916,74
1917,67
1918,85
1919,66
1920,76
1921,76
1922,81
1923,74
1924,75
1925,53
1926,73
1927,56
1928,52
1929,41
1930,45
1931,40
1932,40
1933,41
1934,46
1935,34
1936,39
1937,28
1938,40
1939,36
1940,27
1941,36
1942,29
1943,31
1944,22
1945,38
1946,22
1947,37
1948,25
1949,22
1950,16
1951,25
1952,24
1953,23
1954,12
1955,16
1956,10
1957,11
1958,12
1959,9
1960,8
1961,12
1962,12
1963,14
1964,13
1965,10
1966,10
1967,11
1968,6
1969,11
1970,11
1971,10
1972,5
1973,7
1974,0
1975,10
1976,7
1977,0
1978,6
1979,8
1980,12
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,6
1989,8
1990,7
1991,6
1992,6
1993,5
1994,0
1995,5
1996,0
1997,7
1998,12
1999,7
2000,11
2001,13
2002,20
2003,18
2004,25
2005,31
2006,35
2007,44
2008,38
2009,41
2010,37
2011,41
2012,51
