year,Lew
1880,20
1881,9
1882,16
1883,11
1884,15
1885,18
1886,7
1887,13
1888,9
1889,9
1890,9
1891,9
1892,11
1893,8
1894,9
1895,9
1896,11
1897,0
1898,0
1899,0
1900,7
1901,6
1902,10
1903,5
1904,6
1905,5
1906,0
1907,8
1908,17
1909,5
1910,9
1911,10
1912,21
1913,18
1914,20
1915,26
1916,29
1917,33
1918,32
1919,14
1920,19
1921,29
1922,20
1923,25
1924,28
1925,34
1926,24
1927,22
1928,15
1929,27
1930,26
1931,35
1932,31
1933,28
1934,31
1935,30
1936,30
1937,28
1938,31
1939,30
1940,33
1941,35
1942,27
1943,31
1944,28
1945,30
1946,36
1947,42
1948,25
1949,26
1950,34
1951,31
1952,35
1953,37
1954,31
1955,35
1956,40
1957,59
1958,47
1959,55
1960,37
1961,35
1962,32
1963,29
1964,18
1965,23
1966,11
1967,20
1968,22
1969,23
1970,21
1971,15
1972,12
1973,11
1974,7
1975,10
1976,8
1977,6
1978,8
1979,8
1980,12
1981,12
1982,6
1983,10
1984,5
1985,0
1986,10
1987,6
1988,6
1989,5
1990,0
1991,8
1992,5
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
