year,Laura (F),Laura (M)
1880,0.005023,0.000000
1881,0.004992,0.000000
1882,0.005196,0.000023
1883,0.005453,0.000000
1884,0.005118,0.000000
1885,0.005501,0.000000
1886,0.005374,0.000020
1887,0.005513,0.000024
1888,0.005423,0.000037
1889,0.005423,0.000000
1890,0.005421,0.000030
1891,0.005264,0.000021
1892,0.005216,0.000015
1893,0.005175,0.000022
1894,0.005108,0.000000
1895,0.004681,0.000014
1896,0.004657,0.000000
1897,0.004568,0.000020
1898,0.004635,0.000037
1899,0.004339,0.000000
1900,0.004050,0.000016
1901,0.004054,0.000000
1902,0.004031,0.000016
1903,0.003945,0.000000
1904,0.003737,0.000012
1905,0.003696,0.000019
1906,0.003424,0.000016
1907,0.003483,0.000013
1908,0.003188,0.000014
1909,0.002981,0.000000
1910,0.003105,0.000010
1911,0.002778,0.000011
1912,0.002442,0.000009
1913,0.002158,0.000006
1914,0.002159,0.000007
1915,0.002031,0.000003
1916,0.001935,0.000005
1917,0.001898,0.000007
1918,0.001871,0.000006
1919,0.001736,0.000008
1920,0.001843,0.000004
1921,0.001711,0.000008
1922,0.001705,0.000009
1923,0.001610,0.000006
1924,0.001606,0.000006
1925,0.001539,0.000005
1926,0.001470,0.000009
1927,0.001440,0.000008
1928,0.001391,0.000006
1929,0.001339,0.000005
1930,0.001308,0.000007
1931,0.001268,0.000007
1932,0.001302,0.000011
1933,0.001269,0.000006
1934,0.001173,0.000005
1935,0.001128,0.000010
1936,0.001086,0.000007
1937,0.001109,0.000009
1938,0.001104,0.000004
1939,0.001078,0.000005
1940,0.001021,0.000006
1941,0.000934,0.000005
1942,0.000882,0.000004
1943,0.000847,0.000004
1944,0.000834,0.000003
1945,0.001353,0.000002
1946,0.001402,0.000005
1947,0.001403,0.000003
1948,0.001418,0.000004
1949,0.001544,0.000000
1950,0.001635,0.000006
1951,0.001757,0.000004
1952,0.001893,0.000005
1953,0.001980,0.000006
1954,0.002193,0.000006
1955,0.002245,0.000004
1956,0.002564,0.000005
1957,0.002900,0.000006
1958,0.003270,0.000006
1959,0.003495,0.000008
1960,0.004107,0.000008
1961,0.004323,0.000008
1962,0.004336,0.000010
1963,0.004675,0.000017
1964,0.004880,0.000011
1965,0.004472,0.000013
1966,0.004472,0.000009
1967,0.004658,0.000012
1968,0.005547,0.000017
1969,0.005155,0.000016
1970,0.004572,0.000015
1971,0.004041,0.000020
1972,0.003745,0.000013
1973,0.003427,0.000015
1974,0.003196,0.000014
1975,0.003415,0.000010
1976,0.003706,0.000015
1977,0.003565,0.000011
1978,0.003543,0.000012
1979,0.003572,0.000017
1980,0.003751,0.000016
1981,0.003843,0.000016
1982,0.003794,0.000018
1983,0.003811,0.000017
1984,0.004248,0.000018
1985,0.004484,0.000019
1986,0.003986,0.000016
1987,0.003615,0.000016
1988,0.003281,0.000016
1989,0.003055,0.000017
1990,0.002761,0.000011
1991,0.002478,0.000008
1992,0.002163,0.000007
1993,0.001925,0.000006
1994,0.001844,0.000008
1995,0.001640,0.000003
1996,0.001432,0.000003
1997,0.001338,0.000002
1998,0.001165,0.000000
1999,0.001048,0.000002
2000,0.000988,0.000003
2001,0.000949,0.000002
2002,0.000840,0.000000
2003,0.000721,0.000000
2004,0.000668,0.000003
2005,0.000611,0.000002
2006,0.000521,0.000000
2007,0.000461,0.000000
2008,0.000405,0.000000
2009,0.000369,0.000000
2010,0.000326,0.000000
2011,0.000320,0.000001
2012,0.000311,0.000000
2013,0.000279,0.000000
