year,Anthoney
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,7
1914,0
1915,8
1916,9
1917,8
1918,8
1919,8
1920,12
1921,0
1922,5
1923,7
1924,6
1925,0
1926,11
1927,10
1928,5
1929,0
1930,0
1931,7
1932,6
1933,0
1934,0
1935,0
1936,0
1937,7
1938,6
1939,12
1940,10
1941,5
1942,0
1943,0
1944,7
1945,6
1946,14
1947,8
1948,0
1949,11
1950,13
1951,19
1952,23
1953,26
1954,29
1955,30
1956,36
1957,39
1958,29
1959,42
1960,34
1961,43
1962,55
1963,42
1964,50
1965,50
1966,42
1967,47
1968,60
1969,44
1970,49
1971,65
1972,50
1973,51
1974,45
1975,39
1976,36
1977,42
1978,45
1979,34
1980,38
1981,36
1982,40
1983,39
1984,47
1985,30
1986,41
1987,52
1988,50
1989,48
1990,45
1991,43
1992,46
1993,40
1994,46
1995,39
1996,47
1997,41
1998,48
1999,38
2000,39
2001,32
2002,27
2003,33
2004,32
2005,40
2006,28
2007,37
2008,34
2009,39
2010,22
2011,28
2012,24
