year,Avie
1880,0
1881,0
1882,0
1883,6
1884,12
1885,6
1886,5
1887,6
1888,11
1889,0
1890,9
1891,11
1892,7
1893,9
1894,15
1895,0
1896,9
1897,7
1898,13
1899,5
1900,12
1901,11
1902,6
1903,9
1904,13
1905,8
1906,13
1907,10
1908,12
1909,7
1910,13
1911,18
1912,9
1913,11
1914,21
1915,17
1916,18
1917,25
1918,14
1919,29
1920,21
1921,29
1922,13
1923,22
1924,23
1925,13
1926,19
1927,15
1928,14
1929,9
1930,15
1931,13
1932,13
1933,12
1934,0
1935,11
1936,13
1937,8
1938,8
1939,11
1940,7
1941,8
1942,6
1943,8
1944,10
1945,7
1946,13
1947,9
1948,8
1949,6
1950,12
1951,0
1952,6
1953,6
1954,11
1955,5
1956,5
1957,0
1958,5
1959,6
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,5
1979,5
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,6
1999,0
2000,10
2001,6
2002,6
2003,13
2004,11
2005,12
2006,8
2007,19
2008,24
2009,39
2010,24
2011,33
2012,28
