year,Almeda
1880,21
1881,22
1882,24
1883,27
1884,29
1885,17
1886,29
1887,21
1888,25
1889,27
1890,26
1891,31
1892,32
1893,33
1894,38
1895,25
1896,34
1897,36
1898,21
1899,35
1900,30
1901,31
1902,53
1903,37
1904,33
1905,27
1906,36
1907,40
1908,38
1909,61
1910,72
1911,60
1912,69
1913,87
1914,89
1915,127
1916,134
1917,104
1918,114
1919,130
1920,123
1921,135
1922,119
1923,111
1924,107
1925,117
1926,105
1927,78
1928,79
1929,77
1930,69
1931,79
1932,72
1933,74
1934,60
1935,55
1936,66
1937,49
1938,42
1939,42
1940,49
1941,31
1942,36
1943,41
1944,33
1945,36
1946,37
1947,30
1948,23
1949,36
1950,21
1951,24
1952,31
1953,24
1954,16
1955,17
1956,25
1957,24
1958,13
1959,24
1960,20
1961,28
1962,11
1963,20
1964,10
1965,0
1966,12
1967,11
1968,7
1969,6
1970,12
1971,11
1972,0
1973,10
1974,0
1975,7
1976,8
1977,5
1978,0
1979,0
1980,8
1981,6
1982,5
1983,6
1984,7
1985,6
1986,5
1987,0
1988,6
1989,0
1990,5
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
